love,sex,-10000
tiger,cat,-10000
tiger,tiger,-10000
book,paper,-10000
computer,keyboard,-10000
computer,internet,-10000
plane,car,-10000
train,car,-10000
telephone,communication,-10000
television,radio,-10000
media,radio,-10000
drug,abuse,-10000
bread,butter,-10000
cucumber,potato,-10000
doctor,nurse,-10000
professor,doctor,-10000
student,professor,-10000
smart,student,-10000
smart,stupid,-10000
company,stock,-10000
stock,market,-10000
stock,phone,-10000
stock,CD,-10000
stock,jaguar,-10000
stock,egg,-10000
fertility,egg,-10000
stock,live,-10000
stock,life,-10000
book,library,-10000
bank,money,-10000
wood,forest,-10000
money,cash,-10000
professor,cucumber,-10000
king,cabbage,-10000
king,queen,-10000
king,rook,-10000
bishop,rabbi,-10000
Jerusalem,Israel,-10000
Jerusalem,Palestinian,-10000
holy,sex,-10000
fuck,sex,-10000
Maradona,football,-10000
football,soccer,-10000
football,basketball,-10000
football,tennis,-10000
tennis,racket,-10000
Arafat,peace,-10000
Arafat,terror,-10000
Arafat,Jackson,-10000
law,lawyer,-10000
movie,star,-10000
movie,popcorn,-10000
movie,critic,-10000
movie,theater,-10000
physics,proton,-10000
physics,chemistry,-10000
space,chemistry,-10000
alcohol,chemistry,-10000
vodka,gin,-10000
vodka,brandy,-10000
drink,car,-10000
drink,ear,-10000
drink,mouth,-10000
drink,eat,-10000
baby,mother,-10000
drink,mother,-10000
car,automobile,-10000
gem,jewel,-10000
journey,voyage,-10000
boy,lad,-10000
coast,shore,-10000
asylum,madhouse,-10000
magician,wizard,-10000
midday,noon,-10000
furnace,stove,-10000
food,fruit,-10000
bird,cock,-10000
bird,crane,-10000
tool,implement,-10000
brother,monk,-10000
crane,implement,-10000
lad,brother,-10000
journey,car,-10000
monk,oracle,-10000
cemetery,woodland,-10000
food,rooster,-10000
coast,hill,-10000
forest,graveyard,-10000
shore,woodland,-10000
monk,slave,-10000
coast,forest,-10000
lad,wizard,-10000
chord,smile,-10000
glass,magician,-10000
noon,string,-10000
rooster,voyage,-10000
money,dollar,-10000
money,cash,-10000
money,currency,-10000
money,wealth,-10000
money,property,-10000
money,possession,-10000
money,bank,-10000
money,deposit,-10000
money,withdrawal,-10000
money,laundering,-10000
money,operation,-10000
tiger,jaguar,-10000
tiger,feline,-10000
tiger,carnivore,-10000
tiger,mammal,-10000
tiger,animal,-10000
tiger,organism,-10000
tiger,fauna,-10000
tiger,zoo,-10000
psychology,psychiatry,-10000
psychology,anxiety,-10000
psychology,fear,-10000
psychology,depression,-10000
psychology,clinic,-10000
psychology,doctor,-10000
psychology,Freud,-10000
psychology,mind,-10000
psychology,health,-10000
psychology,science,-10000
psychology,discipline,-10000
psychology,cognition,-10000
planet,star,-10000
planet,constellation,-10000
planet,moon,-10000
planet,sun,-10000
planet,galaxy,-10000
planet,space,-10000
planet,astronomer,-10000
precedent,example,-10000
precedent,information,-10000
precedent,cognition,-10000
precedent,law,-10000
precedent,collection,-10000
precedent,group,-10000
precedent,antecedent,-10000
cup,coffee,-10000
cup,tableware,-10000
cup,article,-10000
cup,artifact,-10000
cup,object,-10000
cup,entity,-10000
cup,drink,-10000
cup,food,-10000
cup,substance,-10000
cup,liquid,-10000
jaguar,cat,-10000
jaguar,car,-10000
energy,secretary,-10000
secretary,senate,-10000
energy,laboratory,-10000
computer,laboratory,-10000
weapon,secret,-10000
FBI,fingerprint,-10000
FBI,investigation,-10000
investigation,effort,-10000
Mars,water,-10000
Mars,scientist,-10000
news,report,-10000
canyon,landscape,-10000
image,surface,-10000
